,Date,Positive,Negative,Neutral,Compound
1105,2019-03-05,0.13556666666666667,0.057466666666666666,0.8069333333333332,0.23041000000000003
1106,2019-03-06,0.09673913043478263,0.06560869565217392,0.8376521739130436,0.02645217391304348
1107,2019-03-07,0.12662068965517242,0.04706896551724138,0.8263103448275864,0.1994448275862069
1108,2019-03-08,0.13231818181818183,0.06309090909090909,0.8046363636363637,0.20313181818181822
1109,2019-03-09,0.13474999999999998,0.04165,0.8236000000000001,0.16291000000000003
1110,2019-03-10,0.10840909090909091,0.043,0.8486363636363637,0.20580909090909094
1111,2019-03-11,0.13718181818181818,0.039818181818181815,0.8230909090909091,0.23815454545454545
1112,2019-03-12,0.07491304347826086,0.07795652173913042,0.8471739130434782,0.00419565217391305
1113,2019-03-13,0.11968181818181821,0.06818181818181818,0.8122272727272727,0.14519545454545457
1114,2019-03-14,0.09250000000000001,0.04576923076923077,0.8618461538461536,0.1281269230769231
1115,2019-03-15,0.11308695652173913,0.0806086956521739,0.8062608695652173,0.1236695652173913
1116,2019-03-16,0.10908695652173912,0.10317391304347827,0.7876956521739131,0.051039130434782615
1117,2019-03-17,0.09321739130434784,0.10213043478260868,0.8046086956521741,-0.02937391304347826
1118,2019-03-18,0.10117391304347825,0.08443478260869565,0.8143478260869565,0.11211739130434785
1119,2019-03-19,0.10552777777777778,0.04675000000000001,0.8476666666666666,0.2516583333333334
1120,2019-03-20,0.11710256410256409,0.06417948717948717,0.818769230769231,0.23480256410256414
1121,2019-03-21,0.11699999999999999,0.06533333333333333,0.8176666666666665,0.20455666666666666
1122,2019-03-22,0.11320000000000001,0.05286666666666666,0.8339333333333333,0.18763000000000005
1123,2019-03-23,0.11227777777777777,0.04705555555555556,0.8406666666666668,0.17332222222222224
1124,2019-03-24,0.088875,0.05295833333333333,0.8582083333333331,0.150125
1125,2019-03-25,0.15259999999999999,0.053133333333333345,0.7941333333333334,0.2335466666666667
1126,2019-03-26,0.09022222222222222,0.05538888888888889,0.8545,0.15852222222222223
1127,2019-03-27,0.09530769230769232,0.049269230769230773,0.8553846153846154,0.16356153846153842
1128,2019-03-28,0.17170833333333335,0.05483333333333334,0.7734583333333336,0.2763166666666667
1129,2019-03-29,0.15376,0.07148,0.7747199999999999,0.34251200000000004
1130,2019-03-30,0.12405882352941176,0.06758823529411764,0.8083529411764705,0.15480000000000002
1131,2019-03-31,0.09952380952380954,0.04190476190476191,0.8585714285714284,0.13422380952380952
1132,2019-04-01,0.11106250000000001,0.0679375,0.8210000000000001,0.19886250000000005
1133,2019-04-02,0.09045454545454545,0.0517012987012987,0.8578571428571428,0.13419740259740257
1134,2019-04-03,0.09639655172413791,0.0696551724137931,0.8339655172413791,0.1268724137931035
1135,2019-04-04,0.09336363636363637,0.05548484848484849,0.8511515151515152,0.17048181818181818
1136,2019-04-05,0.11523333333333333,0.07616666666666667,0.8086333333333334,0.1700433333333333
1137,2019-04-06,0.09882222222222223,0.041,0.8601555555555556,0.16931999999999997
1138,2019-04-07,0.10524999999999998,0.047625,0.8471249999999999,0.16215625000000003
1139,2019-04-08,0.11119999999999998,0.05137142857142857,0.8374285714285713,0.20165714285714284
1140,2019-04-09,0.058699999999999995,0.11677500000000003,0.8245250000000002,-0.2501699999999999
1141,2019-04-10,0.11784210526315789,0.06821052631578947,0.814,0.14296578947368424
1142,2019-04-11,0.07875675675675677,0.0697027027027027,0.8515945945945947,-0.0021756756756756853
1143,2019-04-12,0.15185714285714283,0.05399999999999999,0.7941904761904762,0.2683714285714286
1144,2019-04-13,0.10123809523809524,0.049095238095238095,0.8496190476190477,0.12704285714285712
1145,2019-04-14,0.10534782608695652,0.020782608695652172,0.8739130434782609,0.20616086956521743
1146,2019-04-15,0.09971875000000002,0.08234375000000001,0.8180000000000001,0.044415625
1147,2019-04-16,0.08939024390243902,0.10190243902439027,0.8086829268292681,-0.01357073170731708
1148,2019-04-17,0.13284848484848483,0.03690909090909091,0.8301515151515151,0.305830303030303
1149,2019-04-18,0.09029166666666666,0.04624999999999999,0.8634166666666667,0.10038333333333334
1150,2019-04-19,0.07994117647058822,0.08802941176470588,0.8320882352941179,0.08519705882352939
1151,2019-04-20,0.10536666666666664,0.0697,0.8250000000000001,0.09536333333333333
1152,2019-04-21,0.10558064516129033,0.06464516129032259,0.829741935483871,0.0943483870967742
1153,2019-04-22,0.12585,0.056900000000000006,0.8172499999999999,0.21237499999999992
1154,2019-04-23,0.11175510204081633,0.04526530612244899,0.8429591836734693,0.21025714285714286
1155,2019-04-24,0.08986206896551725,0.05703448275862069,0.8531034482758623,0.10488275862068965
1156,2019-04-25,0.13054838709677422,0.07535483870967744,0.7939677419354837,0.19203225806451615
1157,2019-04-26,0.08542105263157895,0.06484210526315791,0.8497368421052629,0.041455263157894745
1158,2019-04-27,0.09415151515151515,0.0626969696969697,0.8431515151515151,0.08456363636363637
1159,2019-04-28,0.08839130434782608,0.06504347826086956,0.8465217391304347,0.05866086956521739
1160,2019-04-29,0.1153,0.0619,0.8227333333333334,0.14274999999999996
1161,2019-04-30,0.10493548387096775,0.05029032258064517,0.8447741935483875,0.13703548387096773
1162,2019-05-01,0.09028571428571429,0.05117142857142857,0.8585428571428572,0.18778285714285717
1163,2019-05-02,0.10616666666666669,0.058277777777777776,0.8355000000000001,0.132375
1164,2019-05-03,0.09247272727272726,0.0721090909090909,0.8354363636363636,0.07889454545454545
1165,2019-05-04,0.0817857142857143,0.08764285714285715,0.8306190476190477,0.03732380952380953
1166,2019-05-05,0.12659375,0.08625000000000002,0.7871562500000001,0.08963125000000001
1167,2019-05-06,0.1069183673469388,0.0366938775510204,0.8563877551020407,0.2507530612244898
1168,2019-05-07,0.09221052631578948,0.06563157894736842,0.8421842105263158,0.04772105263157894
1169,2019-05-08,0.12273170731707313,0.10597560975609753,0.7713414634146344,0.06132439024390242
1170,2019-05-09,0.10594444444444445,0.0852962962962963,0.8088148148148149,0.09308148148148146
1171,2019-05-10,0.14134426229508198,0.05896721311475409,0.7996557377049179,0.25739508196721317
1172,2019-05-11,0.11382291666666668,0.04197916666666667,0.8441874999999999,0.24203020833333333
1173,2019-05-12,0.09304347826086956,0.07510144927536233,0.8318550724637681,0.08611884057971016
1174,2019-05-13,0.11200000000000002,0.047537878787878796,0.8404393939393937,0.22777272727272735
1175,2019-05-14,0.09762222222222222,0.06746666666666666,0.8349555555555552,0.10514111111111109
1176,2019-05-15,0.12540350877192982,0.06233333333333334,0.8121929824561404,0.1996456140350877
1177,2019-05-16,0.10041509433962265,0.06337735849056603,0.8362075471698114,0.15250566037735847
1178,2019-05-17,0.08107692307692306,0.0858974358974359,0.833051282051282,-0.023397435897435894
1179,2019-05-18,0.10220512820512818,0.05641025641025642,0.8414102564102566,0.13444871794871796
1180,2019-05-19,0.12387719298245611,0.07221052631578949,0.8039824561403506,0.18111228070175442
1181,2019-05-20,0.12477941176470587,0.06685294117647059,0.8083088235294117,0.17597499999999996
1182,2019-05-21,0.12753225806451615,0.047322580645161295,0.8251290322580646,0.17849838709677418
1183,2019-05-22,0.11720930232558141,0.05334883720930233,0.8294883720930233,0.2250348837209302
1184,2019-05-23,0.10089795918367349,0.04818367346938776,0.850938775510204,0.2149081632653061
1185,2019-05-24,0.09982500000000001,0.05985,0.8402749999999999,0.13210249999999998
1186,2019-05-25,0.14592000000000005,0.07719999999999999,0.7769199999999999,0.14147600000000002
1187,2019-05-26,0.11613461538461539,0.05800000000000001,0.8258076923076924,0.16690000000000005
1188,2019-05-27,0.11844285714285717,0.06148571428571429,0.8200714285714285,0.1793514285714286
1189,2019-05-28,0.11847272727272727,0.05512727272727272,0.826472727272727,0.17471454545454543
1190,2019-05-29,0.1342083333333333,0.06981249999999999,0.7960416666666665,0.1991708333333333
1191,2019-05-30,0.0866122448979592,0.05726530612244898,0.8561020408163265,0.0876795918367347
1192,2019-05-31,0.11089189189189189,0.045621621621621616,0.8434864864864865,0.23056756756756763
1193,2019-06-01,0.12797222222222224,0.03180555555555556,0.8401944444444445,0.22121666666666664
1194,2019-06-02,0.1236571428571429,0.07925714285714283,0.7971142857142857,0.1270457142857143
1195,2019-06-03,0.12051851851851855,0.05855555555555556,0.8208888888888889,0.21705555555555556
1196,2019-06-04,0.0875217391304348,0.0701304347826087,0.8423695652173907,0.06110217391304349
1197,2019-06-05,0.09090625000000001,0.05487500000000001,0.8542187500000001,0.09494375000000004
1198,2019-06-06,0.11067741935483871,0.07761290322580645,0.8117096774193547,0.1369806451612903
1199,2019-06-07,0.10066666666666665,0.07225641025641026,0.827076923076923,0.061605128205128194
1200,2019-06-08,0.1100967741935484,0.09374193548387097,0.7961935483870968,0.007764516129032245
1201,2019-06-09,0.08726315789473683,0.08047368421052634,0.8322631578947368,0.08077368421052632
1202,2019-06-10,0.12084615384615384,0.057692307692307696,0.8213076923076923,0.11158076923076923
1203,2019-06-11,0.12836666666666666,0.046799999999999994,0.8249000000000001,0.19819333333333328
1204,2019-06-12,0.09707692307692309,0.06803846153846155,0.8348461538461538,0.13446923076923076
1205,2019-06-13,0.13566666666666666,0.05458333333333334,0.8096944444444443,0.16920000000000002
1206,2019-06-14,0.11022222222222224,0.05697777777777779,0.8327777777777778,0.20003777777777781
1207,2019-06-15,0.1004090909090909,0.04511363636363637,0.8544772727272728,0.14270909090909092
1208,2019-06-16,0.0915857142857143,0.0707285714285714,0.8377142857142856,0.05590142857142856
1209,2019-06-17,0.1286176470588235,0.0478529411764706,0.8235147058823529,0.2159191176470589
1210,2019-06-18,0.09961249999999999,0.0570375,0.8433875000000004,0.15258999999999995
1211,2019-06-19,0.08998387096774192,0.058096774193548376,0.8519193548387095,0.11606612903225806
1212,2019-06-20,0.12153731343283583,0.061820895522388064,0.8166119402985076,0.19898358208955227
1213,2019-06-21,0.1348453608247423,0.06498969072164949,0.8002061855670102,0.1767103092783505
1214,2019-06-22,0.09306081081081082,0.07144594594594593,0.8354999999999999,0.06187837837837839
1215,2019-06-23,0.14981159420289852,0.07120289855072466,0.7790144927536233,0.21791884057971012
1216,2019-06-24,0.10628571428571426,0.044800000000000006,0.8488857142857144,0.22417142857142863
1217,2019-06-25,0.11040540540540537,0.04656756756756757,0.8429864864864864,0.19808243243243234
1218,2019-06-26,0.09265359477124187,0.06405228758169935,0.8432745098039215,0.0872830065359477
1219,2019-06-27,0.09762121212121211,0.06977272727272726,0.8326363636363635,0.10844545454545454
1220,2019-06-28,0.10498148148148147,0.053314814814814815,0.8417407407407409,0.1848925925925926
1221,2019-06-29,0.11071052631578947,0.05926315789473684,0.83,0.17082105263157896
1222,2019-06-30,0.10406250000000002,0.06793750000000001,0.828,0.19151875
1223,2019-07-01,0.11136734693877551,0.051448979591836745,0.8371428571428572,0.1921244897959184
1224,2019-07-02,0.1220892857142857,0.07017857142857141,0.8077321428571427,0.16937500000000005
1225,2019-07-03,0.1395151515151515,0.039803030303030305,0.8206818181818183,0.2960530303030303
1226,2019-07-04,0.14152500000000007,0.057025000000000006,0.80145,0.207675
1227,2019-07-05,0.12476315789473688,0.07397368421052633,0.8012894736842104,0.20953421052631585
1228,2019-07-06,0.10533333333333335,0.05859259259259259,0.836,0.15899259259259255
1229,2019-07-07,0.12252941176470589,0.06388235294117646,0.8135588235294117,0.13336176470588235
1230,2019-07-08,0.12823636363636362,0.07156363636363636,0.8002000000000001,0.19225090909090906
1231,2019-07-09,0.10418181818181821,0.07598181818181819,0.8198363636363637,0.08652909090909087
