,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
566,9/12/2017,0.072341463,0.121780488,0.805829268,-0.182531707,3944.58375,4295.76124,4368.22,3944.58375
567,9/13/2017,0.065076923,0.0665,0.868461538,-0.045230769,3817.0575,3944.58375,4053.3225,3766.36
568,9/14/2017,0.099309524,0.077119048,0.823595238,0.098671429,3358.10875,3817.0575,3896.7925,3209.43875
569,9/15/2017,0.0945,0.078875,0.82665,0.028725,3772.68375,3358.10875,3806.57875,2951.1525
570,9/16/2017,0.108321429,0.085,0.80675,0.04815,3608.595,3772.68375,3874.62625,3551.75875
571,9/17/2017,0.089076923,0.067307692,0.843615385,0.0601,3764.6175,3608.595,3803.4125,3484.80125
572,9/18/2017,0.098935484,0.057096774,0.843903226,0.086719355,3976.3875,3764.6175,4080.4975,3753.3775
573,9/19/2017,0.105307692,0.021846154,0.872846154,0.186184615,3863.18625,3976.3875,4026.57,3847.35375
574,9/20/2017,0.080052632,0.056052632,0.863894737,0.058905263,3827.685,3863.18625,4021.46,3813.225
575,9/21/2017,0.060733333,0.149733333,0.789533333,-0.211166667,3690.99125,3827.685,3890.98,3584.59125
576,9/22/2017,0.0811875,0.0906875,0.8281875,-0.08358125,3612.1625,3690.99125,3748.705,3519.07125
577,9/23/2017,0.172076923,0.029307692,0.798615385,0.317761538,3772.8475,3612.1625,3810.5375,3612.1625
578,9/24/2017,0.1232,0.0322,0.8445,0.26815,3753.435,3772.8475,3775.7775,3627.52625
579,9/25/2017,0.099076923,0.026923077,0.874,0.193023077,3920.99125,3753.435,3970.2575,3752.46875
580,9/26/2017,0.058166667,0.146333333,0.7955,-0.224341667,3939.515,3920.99125,3968.53625,3865.23125
581,9/27/2017,0.110625,0.065958333,0.823375,0.085695833,4220.28,3939.515,4228.085,3930.91125
582,9/28/2017,0.1308,0.072866667,0.796266667,0.128326667,4062.20375,4220.28,4278.77625,4027.04125
583,9/29/2017,0.114444444,0.010444444,0.875111111,0.269433333,4207.825,4062.20375,4227.43875,4035.7075
584,9/30/2017,0.053571429,0.051642857,0.894714286,0.019635714,4300.55125,4207.825,4366.805,4205.00375
585,10/1/2017,0.10525,0.064,0.8308125,0.1643,4414.1775,4300.55125,4431.32125,4261.34624
586,10/2/2017,0.126263158,0.019894737,0.853789474,0.287173684,4424.4725,4414.1775,4462.00625,4376.085
587,10/3/2017,0.1183,0.0749,0.8068,0.07806,4307.555,4424.4725,4426.06125,4246.29
588,10/4/2017,0.20625,0.10575,0.688166667,0.200933333,4186.78374,4307.555,4345.28374,4179.41875
589,10/5/2017,0.097833333,0.0275,0.874666667,0.217683333,4325.23625,4186.78374,4355.89375,4150.7575
590,10/6/2017,0.133363636,0.043454545,0.823090909,0.220090909,4370.16875,4325.23625,4417.45125,4316.85999
591,10/7/2017,0.1246,0.0448,0.830533333,0.236706667,4446.17249,4370.16875,4461.66,4330.28374
592,10/8/2017,0.1365,0.025416667,0.838083333,0.221233333,4624.34875,4446.17249,4625.22,4419.19375
593,10/9/2017,0.095190476,0.067904762,0.836904762,0.07447619,4789.30125,4624.34875,4870.04125,4554.0275
594,10/10/2017,0.06695,0.08805,0.845,-0.04725,4741.70875,4789.30125,4909.18124,4726.28
595,10/11/2017,0.127235294,0.044705882,0.828,0.171005882,4858.60499,4741.70875,4882.695,4730.87875
596,10/12/2017,0.1076,0.051133333,0.841288889,0.142357778,5728.5475,4858.60499,5856.09875,4843.695
597,10/13/2017,0.097731707,0.066121951,0.836170732,0.132180488,5666.97875,5728.5475,5813.26875,5432.3525
598,10/14/2017,0.184526316,0.029736842,0.785684211,0.347105263,5779.07375,5666.97875,5844.77125,5570.04
599,10/15/2017,0.130052632,0.110105263,0.759789474,0.070636842,5607.01,5779.07375,5796.2425,5439.9825
600,10/16/2017,0.1144,0.056066667,0.829533333,0.176673333,5643.55375,5607.01,5789.795,5569.3075
601,10/17/2017,0.08308,0.06612,0.85092,0.024084,5495.03875,5643.55375,5685.35,5461.02625
602,10/18/2017,0.092857143,0.053857143,0.853285714,0.069821429,5627.08625,5495.03875,5639.68625,5109.7
603,10/19/2017,0.097666667,0.062,0.840333333,0.079458333,5686.52625,5627.08625,5735.155,5544.70375
604,10/20/2017,0.115272727,0.027151515,0.857575758,0.165724242,6098.115,5686.52625,6112.18875,5611.1175
605,10/21/2017,0.1374,0.09424,0.76844,0.063568,5949.07875,6098.115,6183.9825,5886.65125
606,10/22/2017,0.104818182,0.058636364,0.836545455,0.107490909,5969.795,5949.07875,6031.74625,5733.01875
607,10/23/2017,0.070433333,0.106733333,0.8228,-0.05297,5649.005,5969.795,6050.20375,5564.77375
608,10/24/2017,0.094035714,0.096357143,0.809642857,0.057317857,5550.85875,5649.005,5769.27,5374.5975
609,10/25/2017,0.094166667,0.072888889,0.832944444,0.0424,5776.87875,5550.85875,5784.57625,5430.75
610,10/26/2017,0.17,0.0725,0.7574375,0.2596375,5923.70625,5776.87875,5995.92625,5695.33125
611,10/27/2017,0.108055556,0.059611111,0.832333333,0.157983333,5737.1025,5923.70625,5926.64,5691.7575
612,10/28/2017,0.062571429,0.081357143,0.856071429,-0.071728571,5741.7225,5737.1025,5806.9225,5667.34875
613,10/29/2017,0.101285714,0.084571429,0.814071429,0.011435714,6151.325,5741.7225,6306.5775,5733.85625
614,10/30/2017,0.094269231,0.067423077,0.838307692,0.052430769,6130.56375,6151.325,6218.48875,6026.68875
615,10/31/2017,0.127512195,0.048097561,0.824365854,0.214836585,6424.515,6130.56375,6458.26625,6089.47375
616,11/1/2017,0.089692308,0.024307692,0.886038462,0.129865385,6879.365,6424.515,6922.9,6357.91
617,11/2/2017,0.079560976,0.045341463,0.875097561,0.074741463,7199.2375,6879.365,7355.35,6798.3975
618,11/3/2017,0.0992,0.051033333,0.8498,0.162403333,7210.46875,7199.2375,7454.03875,6994.8775
619,11/4/2017,0.103964286,0.085,0.811035714,0.005257143,7376.7425,7210.46875,7503.71875,7100.51125
620,11/5/2017,0.082678571,0.08425,0.833107143,-0.031592857,7231.93,7376.7425,7601.535,7202.47125
621,11/6/2017,0.061896552,0.063482759,0.87462069,0.007358621,7123.89375,7231.93,7423.05875,6932.42875
622,11/7/2017,0.048652174,0.074217391,0.877173913,-0.065317391,7356.50625,7123.89375,7377.9625,6978.5875
623,11/8/2017,0.083946429,0.084375,0.831642857,-0.015051786,7342.82375,7356.50625,7879.06,7095.42375
624,11/9/2017,0.131758621,0.082137931,0.786034483,0.146968966,7250.77,7342.82375,7439.385,7058.35125
625,11/10/2017,0.113608696,0.080086957,0.806304348,0.173721739,6773.695,7250.77,7305.295,6422.975
626,11/11/2017,0.121291667,0.070708333,0.808,0.179435417,6075.30125,6773.695,6806.04375,6062.08625
627,11/12/2017,0.107907407,0.103407407,0.788648148,0.032540741,5969.13,6075.30125,6466.46,5507.29
628,11/13/2017,0.126888889,0.103577778,0.769533333,0.085084444,6666.27125,5969.13,6770.37,5949.5025
629,11/14/2017,0.099538462,0.069307692,0.831076923,0.135361538,6867.42625,6666.27125,6910.2475,6442.4
630,11/15/2017,0.087836735,0.04177551,0.870408163,0.13014898,7259.3,6867.42625,7336.80125,6798.9325
631,11/16/2017,0.08325641,0.056871795,0.859897436,0.093641026,7924.1825,7259.3,7998.39625,7172.755
632,11/17/2017,0.139122449,0.079428571,0.781428571,0.141783673,7598.2775,7924.1825,7984.68375,7460.11125
633,11/18/2017,0.130136364,0.067,0.802954545,0.181195455,7787.45625,7598.2775,7848.94125,7546.33375
634,11/19/2017,0.110823529,0.051882353,0.837176471,0.212373529,7954.7675,7787.45625,8101.91,7678.375
635,11/20/2017,0.092181818,0.072522727,0.835363636,0.057327273,7879.06,7954.7675,8286.17375,7818.5025
636,11/21/2017,0.104394737,0.041868421,0.853684211,0.186415789,8150.6325,7879.06,8362.3025,7828.535
637,11/22/2017,0.115439024,0.079878049,0.804707317,0.168621951,8208.75375,8150.6325,8294.495,8095.08125
638,11/23/2017,0.105866667,0.066266667,0.827866667,0.097116667,8094.445,8208.75375,8264.3875,7892.68
