,Unnamed: 0,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
1331,1331,2019-10-17,0.10533333333333332,0.07125,0.8233888888888888,0.056794444444444425,[8058.05808111],[8003.81926129],[8120.12110574],[7937.85216577]
1332,1332,2019-10-18,0.15856410256410258,0.052000000000000005,0.7894615384615385,0.3094025641025641,[7970.2394756],[8058.05887473],[8121.04588476],[7820.06634314]
1333,1333,2019-10-19,0.10424074074074073,0.07811111111111113,0.8176666666666664,0.10047962962962964,[7943.34710706],[7956.89080245],[8095.9033915],[7882.64696812]
1334,1334,2019-10-20,0.10214285714285716,0.06010714285714285,0.8377142857142855,0.10271785714285718,[8200.3187634],[7943.35241186],[8306.00490113],[7884.51862522]
1335,1335,2019-10-21,0.1146153846153846,0.07143589743589744,0.8139999999999998,0.11622564102564105,[8200.24609949],[8233.79946756],[8346.55649721],[8152.23788741]
1336,1336,2019-10-22,0.12065384615384615,0.05296153846153846,0.8263461538461538,0.1797384615384615,[8073.40954388],[8200.24438151],[8309.66532832],[8054.94806454]
1337,1337,2019-10-23,0.09416071428571428,0.06830357142857142,0.8375714285714284,0.10546071428571432,[7420.41583649],[8027.29381499],[8054.99488777],[7307.39194594]
1338,1338,2019-10-24,0.12715217391304348,0.05802173913043481,0.814804347826087,0.21176739130434785,[7460.61741593],[7420.41403435],[7503.59976363],[7347.63086506]
1339,1339,2019-10-25,0.1087962962962963,0.0717962962962963,0.8194259259259257,0.11474814814814815,[8591.22389742],[7421.57180452],[8762.68049757],[7393.26141302]
1340,1340,2019-10-26,0.10928,0.060580000000000016,0.8301200000000004,0.17035699999999998,[9171.30653186],[8591.23657738],[10332.4095068],[8591.22576754]
1341,1341,2019-10-27,0.1303404255319149,0.10251063829787234,0.7671914893617021,0.07499787234042553,[9578.36755607],[9259.52187251],[9813.44388457],[9103.73713428]
1342,1342,2019-10-28,0.1006875,0.07264583333333334,0.8266874999999999,0.06950416666666666,[9458.22335963],[9578.36438674],[9930.97402121],[9272.6566523]
1343,1343,2019-10-29,0.11902127659574467,0.07219148936170214,0.808744680851064,0.22563191489361706,[9455.72469261],[9228.07450247],[9551.77872623],[9125.77845716]
1344,1344,2019-10-30,0.09464864864864864,0.06591891891891892,0.8393783783783786,0.09715405405405413,[9225.99547934],[9455.72819768],[9468.96324506],[9004.13230442]
1345,1345,2019-10-31,0.13798039215686278,0.04374509803921568,0.8182549019607844,0.24439999999999995,[9131.41063031],[9225.99776878],[9425.4499396],[8954.89963958]
1346,1346,2019-11-01,0.09448571428571427,0.07194285714285714,0.8336285714285715,0.05028000000000002,[9197.63234462],[9131.41715315],[9291.11764433],[9047.17659446]
1347,1347,2019-11-02,0.14438888888888884,0.047888888888888884,0.8077222222222223,0.31796666666666673,[9290.89660239],[9230.47885793],[9377.08452177],[9197.83314231]
1348,1348,2019-11-03,0.14952000000000001,0.052320000000000005,0.7981200000000002,0.264964,[9202.41545055],[9290.89979393],[9362.63313687],[9074.38287943]
1349,1349,2019-11-04,0.11266666666666665,0.06876190476190476,0.8185714285714286,0.0972333333333333,[9369.62808116],[9203.82600676],[9526.16519537],[9125.86153068]
1350,1350,2019-11-05,0.11991666666666667,0.07555555555555554,0.8045277777777777,0.16732222222222226,[9326.59962378],[9404.38087042],[9466.07096112],[9173.04468587]
1351,1351,2019-11-06,0.10329268292682924,0.0572439024390244,0.839439024390244,0.11019999999999994,[9335.75240233],[9326.5925312],[9439.2157353],[9254.73211453]
1352,1352,2019-11-07,0.10976315789473684,0.06481578947368423,0.8254210526315792,0.15869736842105267,[9226.48582088],[9331.21579646],[9364.59081361],[9088.10762833]
1353,1353,2019-11-08,0.14162790697674418,0.07690697674418605,0.7814651162790699,0.16990465116279072,[8794.35864452],[9205.61860574],[9247.61435241],[8666.38961369]
1354,1354,2019-11-09,0.1296842105263158,0.10373684210526317,0.7665526315789474,0.0774421052631579,[8798.04205463],[8794.36260983],[8881.90908677],[8719.96175307]
1355,1355,2019-11-10,0.15732000000000002,0.08223999999999998,0.76052,0.229588,[9081.18687849],[8798.0360673],[9123.33851092],[8742.73762625]
1356,1356,2019-11-11,0.10924390243902443,0.057560975609756086,0.833170731707317,0.18696585365853666,[8711.53433917],[9081.17773284],[9096.02627773],[8613.89239471]
1357,1357,2019-11-12,0.15281818181818185,0.04472727272727272,0.8023939393939392,0.3659666666666667,[8760.89271814],[8711.536153],[8856.3815562],[8564.93793345]
1358,1358,2019-11-13,0.14028125000000002,0.0586875,0.8010312500000002,0.220634375,[8749.52059102],[8760.88854638],[8837.92125152],[8703.63544987]
1359,1359,2019-11-14,0.08299999999999999,0.05620689655172415,0.8607586206896551,0.16223103448275858,[8656.97092235],[8758.54664197],[8785.05419945],[8562.3745933]
1360,1360,2019-11-15,0.08268181818181819,0.09663636363636363,0.8208181818181818,0.030759090909090923,[8500.64355816],[8656.97185832],[8763.90347224],[8359.84919159]
1361,1361,2019-11-16,0.13823529411764707,0.105,0.7566470588235293,0.10191176470588237,[8469.2608989],[8500.64393561],[8539.13217376],[8423.54320524]
1362,1362,2019-11-17,0.09652,0.0502,0.8532799999999999,0.115736,[8537.33965197],[8469.26101453],[8624.95630521],[8369.22496288]
1363,1363,2019-11-18,0.11285365853658536,0.07821951219512194,0.8089024390243902,0.1217243902439024,[8205.80636599],[8500.64460295],[8500.64648931],[8035.88590703]
1364,1364,2019-11-19,0.11978125,0.0801875,0.8,0.13301562500000005,[8118.4885358],[8205.81004333],[8205.81004333],[7988.92262849]
1365,1365,2019-11-20,0.12164285714285712,0.05916666666666666,0.8191904761904764,0.22368809523809524,[8074.84317361],[8119.48444399],[8215.61958867],[8029.0977271]
1366,1366,2019-11-21,0.09786363636363632,0.11440909090909088,0.7877045454545454,-0.01456590909090908,[7612.7405735],[8074.84056122],[8118.11399559],[7420.28132157]
1367,1367,2019-11-22,0.060808510638297876,0.1084255319148936,0.8307659574468087,-0.0906723404255319,[7262.11053495],[7618.5794133],[7717.80208765],[6804.14306494]
1368,1368,2019-11-23,0.1421904761904762,0.11123809523809523,0.7465238095238095,0.16000476190476196,[7303.40575852],[7262.12793424],[7354.8626346],[7094.97579095]
1369,1369,2019-11-24,0.11894285714285713,0.09502857142857142,0.7860857142857142,0.13608285714285712,[7041.73293642],[7303.41426515],[7338.69867732],[6920.63149703]
1370,1370,2019-11-25,0.1658409090909091,0.08195454545454545,0.7522045454545453,0.28443409090909083,[7211.86180875],[6894.65135448],[7368.147389],[6524.5528585]
1371,1371,2019-11-26,0.11454761904761905,0.07500000000000001,0.8104761904761905,0.10491190476190478,[7141.06944869],[7211.87098271],[7336.30101028],[7012.05770202]
1372,1372,2019-11-27,0.11800000000000002,0.06524137931034484,0.8167241379310346,0.15247241379310345,[7523.4806726],[7141.07550853],[7660.64037047],[6851.62292978]
1373,1373,2019-11-28,0.11867999999999998,0.055840000000000015,0.8254000000000002,0.19910400000000006,[7390.20746923],[7523.47288668],[7647.51808885],[7379.30991765]
1374,1374,2019-11-29,0.1260285714285714,0.06368571428571428,0.8102857142857143,0.09289428571428572,[7729.26593894],[7390.21065617],[7856.60790553],[7378.40554326]
1375,1375,2019-11-30,0.10095454545454546,0.04781818181818182,0.8511818181818182,0.2317454545454545,[7542.23560864],[7748.33548684],[7805.02932238],[7439.09886715]
1376,1376,2019-12-01,0.1161,0.0662,0.8176499999999999,0.14325,[7381.96300782],[7542.2453443],[7564.94007919],[7238.32223251]
1377,1377,2019-12-02,0.1328709677419354,0.051193548387096784,0.8158709677419357,0.22386129032258065,[7333.43293049],[7381.96200503],[7440.61573641],[7162.49212483]
1378,1378,2019-12-03,0.13218518518518518,0.05803703703703705,0.8097407407407404,0.2849037037037037,[7315.36776456],[7315.43920337],[7407.41077474],[7238.73059179]
1379,1379,2019-12-04,0.10953846153846154,0.057923076923076924,0.8325384615384618,0.2008205128205128,[7213.73376172],[7315.36927448],[7767.90872485],[7089.14128889]
1380,1380,2019-12-05,0.10885714285714286,0.07775000000000001,0.8134642857142855,0.18893214285714288,[7398.78704961],[7213.74341597],[7488.13777162],[7155.1199462]
1381,1381,2019-12-06,0.13728125000000002,0.07837499999999999,0.7842812499999999,0.18240625,[7511.88058312],[7392.9109373],[7583.38745566],[7304.07044092]
1382,1382,2019-12-07,0.09871428571428573,0.056714285714285724,0.8445357142857144,0.16090357142857142,[7532.12351309],[7511.88460514],[7619.66601783],[7475.01559399]
1383,1383,2019-12-08,0.1086896551724138,0.06344827586206897,0.8279655172413791,0.2128586206896552,[7550.23919987],[7532.12351304],[7573.15601763],[7387.15401587]
