Date,Positive,Negative,Neutral,Compound,Closing_price
9/17/2019,0.14625,0.057681818,0.796113636,0.183415909,10231.42151
9/18/2019,0.108275,0.055325,0.83645,0.172715,10168.28771
9/19/2019,0.07902381,0.043214286,0.877714286,0.154138095,10223.50558
9/20/2019,0.095064516,0.081967742,0.822935484,0.064880645,10138.33521
9/21/2019,0.127846154,0.087230769,0.784884615,0.099211538,9984.520516
9/22/2019,0.13553125,0.04246875,0.82203125,0.302690625,10031.86671
9/23/2019,0.132033333,0.037583333,0.830366667,0.26553,9719.718696
9/24/2019,0.107489362,0.068978723,0.823553191,0.014138298,8688.973526
9/25/2019,0.102777778,0.074648148,0.822592593,0.061090741,8438.708552
9/26/2019,0.126191489,0.07906383,0.794829787,0.17667234,8103.2109
9/27/2019,0.102210526,0.035315789,0.862526316,0.173326316,8195.210697
9/28/2019,0.130333333,0.049051282,0.820589744,0.159482051,8146.414032
9/29/2019,0.109965517,0.08237931,0.80762069,0.123886207,8085.71329
9/30/2019,0.092185185,0.081037037,0.826814815,0.065555556,8241.34147
10/1/2019,0.133953488,0.044581395,0.82144186,0.24035814,8333.68919
10/2/2019,0.134882353,0.033852941,0.831264706,0.230176471,8273.464018
10/3/2019,0.084378378,0.083027027,0.832594595,0.041137838,8203.843833
10/4/2019,0.1146,0.08705,0.79835,0.01939,8163.902638
10/5/2019,0.132970588,0.063735294,0.803205882,0.2778,8137.146689
10/6/2019,0.136677419,0.068903226,0.794290323,0.175819355,7853.693305
10/7/2019,0.113178571,0.110928571,0.775928571,0.004778571,8236.208379
10/8/2019,0.20144,0.043,0.75552,0.435472,8201.637818
10/9/2019,0.12755,0.07,0.80245,0.164285,8572.380812
10/10/2019,0.094973684,0.077657895,0.827315789,0.009421053,8582.144518
10/11/2019,0.112806452,0.089774194,0.797483871,0.120467742,8320.171581
10/12/2019,0.10736,0.05804,0.8346,0.121044,8328.60426
10/13/2019,0.124837838,0.097783784,0.77727027,0.08567027,8282.177326
10/14/2019,0.122032258,0.051774194,0.826193548,0.192667742,8337.818999
10/15/2019,0.071,0.063576923,0.865423077,0.049042308,
10/16/2019,0.112140351,0.073736842,0.814105263,0.075110526,8003.820395
10/17/2019,0.105333333,0.07125,0.823388889,0.056794444,8058.058081
10/18/2019,0.158564103,0.052,0.789461538,0.309402564,7970.239476
10/19/2019,0.104240741,0.078111111,0.817666667,0.10047963,7943.347107
10/20/2019,0.102142857,0.060107143,0.837714286,0.102717857,8200.318763
10/21/2019,0.114615385,0.071435897,0.814,0.116225641,8200.246099
10/22/2019,0.120653846,0.052961538,0.826346154,0.179738462,8073.409544
10/23/2019,0.094160714,0.068303571,0.837571429,0.105460714,7420.415836
10/24/2019,0.127152174,0.058021739,0.814804348,0.211767391,7460.617416
10/25/2019,0.108796296,0.071796296,0.819425926,0.114748148,8591.223897
10/26/2019,0.10928,0.06058,0.83012,0.170357,9171.306532
10/27/2019,0.130340426,0.102510638,0.767191489,0.074997872,9578.367556
10/28/2019,0.1006875,0.072645833,0.8266875,0.069504167,9458.22336
10/29/2019,0.119021277,0.072191489,0.808744681,0.225631915,9455.724693
10/30/2019,0.094648649,0.065918919,0.839378378,0.097154054,9225.995479
10/31/2019,0.137980392,0.043745098,0.818254902,0.2444,9131.41063
11/1/2019,0.094485714,0.071942857,0.833628571,0.05028,9197.632345
11/2/2019,0.144388889,0.047888889,0.807722222,0.317966667,9290.896602
11/3/2019,0.14952,0.05232,0.79812,0.264964,9202.415451
11/4/2019,0.112666667,0.068761905,0.818571429,0.097233333,9369.628081
11/5/2019,0.119916667,0.075555556,0.804527778,0.167322222,9326.599624
11/6/2019,0.103292683,0.057243902,0.839439024,0.1102,9335.752402
11/7/2019,0.109763158,0.064815789,0.825421053,0.158697368,9226.485821
11/8/2019,0.141627907,0.076906977,0.781465116,0.169904651,8794.358645
11/9/2019,0.129684211,0.103736842,0.766552632,0.077442105,8798.042055
11/10/2019,0.15732,0.08224,0.76052,0.229588,9081.186878
11/11/2019,0.109243902,0.057560976,0.833170732,0.186965854,8711.534339
11/12/2019,0.152818182,0.044727273,0.802393939,0.365966667,8760.892718
11/13/2019,0.14028125,0.0586875,0.80103125,0.220634375,8749.520591
11/14/2019,0.083,0.056206897,0.860758621,0.162231034,8656.970922
11/15/2019,0.082681818,0.096636364,0.820818182,0.030759091,8500.643558
11/16/2019,0.138235294,0.105,0.756647059,0.101911765,8469.260899
11/17/2019,0.09652,0.0502,0.85328,0.115736,8537.339652
11/18/2019,0.112853659,0.078219512,0.808902439,0.12172439,8205.806366
11/19/2019,0.11978125,0.0801875,0.8,0.133015625,8118.488536
